gm (L=4.5e-08) X,gm (L=4.5e-08) YRe,gm (L=4.5e-08) YReImag,gm (L=9e-08) X,gm (L=9e-08) YRe,gm (L=9e-08) YReImag,gm (L=1.35e-07) X,gm (L=1.35e-07) YRe,gm (L=1.35e-07) YReImag,gm (L=1e-06) X,gm (L=1e-06) YRe,gm (L=1e-06) YReImag
1.345891603568454e-09,3.797903341944545e-08,-1.107643889538082e-10,1.345891603568454e-09,4.109990938721587e-08,-1.106924252653406e-10,1.345891603568454e-09,4.158719245568395e-08,-1.106680360039738e-10,1.345891603568454e-09,3.94860167959398e-08,-1.136573281596024e-10
1.360780994457205e-09,3.838780637198819e-08,-1.107677277236821e-10,1.360780994457205e-09,4.154041706161144e-08,-1.106956607562046e-10,1.360780994457205e-09,4.203189581083797e-08,-1.106715302059924e-10,1.360780994457205e-09,3.989429469705428e-08,-1.136743869814207e-10
1.375835104377155e-09,3.880091353331205e-08,-1.107710710477601e-10,1.375835104377155e-09,4.198556596964113e-08,-1.106989015690211e-10,1.375835104377155e-09,4.248126941813242e-08,-1.106750312804893e-10,1.375835104377155e-09,4.030667589148214e-08,-1.136914993179778e-10
1.391055755589499e-09,3.921839985430943e-08,-1.107744189399789e-10,1.391055755589499e-09,4.243540379831539e-08,-1.107021477228346e-10,1.391055755589499e-09,4.293536105461578e-08,-1.106785392519455e-10,1.391055755589499e-09,4.072320026207548e-08,-1.137086653180781e-10
1.406444790514826e-09,3.964031073591666e-08,-1.107777714143433e-10,1.406444790514826e-09,4.288997870567532e-08,-1.107053992367785e-10,1.406444790514826e-09,4.339421896679846e-08,-1.106820541449408e-10,1.406444790514826e-09,4.114390806708667e-08,-1.137258851309829e-10
1.42200407195614e-09,4.006669203335641e-08,-1.107811284849267e-10,1.42200407195614e-09,4.334933932515338e-08,-1.107086561300751e-10,1.42200407195614e-09,4.385789187496709e-08,-1.106855759841552e-10,1.42200407195614e-09,4.156883994363435e-08,-1.137431589064062e-10
1.437735483324347e-09,4.049759006043133e-08,-1.107844901658711e-10,1.437735483324347e-09,4.381353476997671e-08,-1.107119184220365e-10,1.437735483324347e-09,4.432642897757495e-08,-1.106891047943689e-10,1.437735483324347e-09,4.199803691132513e-08,-1.137604867945209e-10
1.453640928866236e-09,4.0933051593849e-08,-1.107878564713883e-10,1.453640928866236e-09,4.428261463761547e-08,-1.107151861320651e-10,1.453640928866236e-09,4.479987995563863e-08,-1.106926406004632e-10,1.453640928866236e-09,4.243154037573913e-08,-1.137778689459566e-10
1.469722333894986e-09,4.137312387757899e-08,-1.107912274157599e-10,1.469722333894986e-09,4.475662901425398e-08,-1.107184592796541e-10,1.469722333894986e-09,4.527829497718162e-08,-1.106961834274208e-10,1.469722333894986e-09,4.286939213206562e-08,-1.137953055118041e-10
1.485981645023214e-09,4.181785462725861e-08,-1.107946030133377e-10,1.485981645023214e-09,4.523562847930829e-08,-1.10721737884388e-10,1.485981645023214e-09,4.576172470172683e-08,-1.106997333003265e-10,1.485981645023214e-09,4.331163436876508e-08,-1.138127966436152e-10
1.502420830398618e-09,4.226729203461927e-08,-1.107979832785446e-10,1.502420830398618e-09,4.571966410998963e-08,-1.107250219659433e-10,1.502420830398618e-09,4.625022028480663e-08,-1.107032902443681e-10,1.502420830398618e-09,4.375830967122789e-08,-1.138303424934092e-10
1.519041879942203e-09,4.272148477196685e-08,-1.108013682258748e-10,1.519041879942203e-09,4.620878748587494e-08,-1.107283115440888e-10,1.519041879942203e-09,4.674383338252434e-08,-1.10706854284836e-10,1.519041879942203e-09,4.420946102543973e-08,-1.138479432136668e-10
1.535846805589169e-09,4.3180481996695e-08,-1.108047578698941e-10,1.535846805589169e-09,4.670305069355689e-08,-1.107316066386866e-10,1.535846805589169e-09,4.724261615615151e-08,-1.107104254471251e-10,1.535846805589169e-09,4.466513182184945e-08,-1.138655989573401e-10
1.55283764153244e-09,4.364433335582288e-08,-1.108081522252408e-10,1.55283764153244e-09,4.720250633130227e-08,-1.107349072696919e-10,1.55283764153244e-09,4.774662127675943e-08,-1.107140037567343e-10,1.55283764153244e-09,4.512536585899188e-08,-1.138833098778473e-10
1.570016444468903e-09,4.411308899060289e-08,-1.108115513066261e-10,1.570016444468903e-09,4.770720751375549e-08,-1.107382134571546e-10,1.570016444468903e-09,4.825590192989102e-08,-1.107175892392679e-10,1.570016444468903e-09,4.559020734745844e-08,-1.139010761290809e-10
1.587385293848367e-09,4.458679954112608e-08,-1.108149551288344e-10,1.587385293848367e-09,4.821720787668849e-08,-1.107415252212188e-10,1.587385293848367e-09,4.877051182027274e-08,-1.107211819204353e-10,1.587385293848367e-09,4.605970091368935e-08,-1.139188978654031e-10
1.60494629212527e-09,4.506551615100068e-08,-1.108183637067239e-10,1.60494629212527e-09,4.873256158178903e-08,-1.107448425821244e-10,1.60494629212527e-09,4.929050517657558e-08,-1.107247818260526e-10,1.60494629212527e-09,4.653389160380769e-08,-1.139367752416537e-10
