av0 (L=4.5e-08) X,av0 (L=4.5e-08) YRe,av0 (L=4.5e-08) YReImag,av0 (L=9e-08) X,av0 (L=9e-08) YRe,av0 (L=9e-08) YReImag,av0 (L=1.35e-07) X,av0 (L=1.35e-07) YRe,av0 (L=1.35e-07) YReImag,av0 (L=1e-06) X,av0 (L=1e-06) YRe,av0 (L=1e-06) YReImag
1.55283764153244e-09,-24.81372672153768,6.67617325857628,1.55283764153244e-09,-30.19825717179373,9.318029410864296,1.55283764153244e-09,-31.91376846201522,10.38109353333629,1.55283764153244e-09,-39.89411872837135,19.05556793866887
1.570016444468903e-09,-24.84449576617841,6.612054577906695,1.570016444468903e-09,-30.24749738673907,9.2323318546081,1.570016444468903e-09,-31.971452161121,10.28760818067248,1.570016444468903e-09,-40.03571133308907,18.92184683270704
1.587385293848367e-09,-24.8745479724318,6.548358633415003,1.587385293848367e-09,-30.29566464098254,9.147083125726045,1.587385293848367e-09,-32.02791682754352,10.19455428866193,1.587385293848367e-09,-40.17506791730529,18.78783493922881
1.60494629212527e-09,-24.90389414218799,6.48508855915839,1.60494629212527e-09,-30.34277364783597,9.062291393847753,1.60494629212527e-09,-32.08317862615898,10.10194279968977,1.60494629212527e-09,-40.31220061034741,18.65357037020128
1.62270156501318e-09,-24.93254500619685,6.422247279232539,1.62270156501318e-09,-30.38883892096928,8.977964355433411,1.62270156501318e-09,-32.13725299656526,10.00978371573501,1.62270156501318e-09,-40.44712137122004,18.5190895039233
1.640653261742107e-09,-24.96051139940512,6.359837609191218,1.640653261742107e-09,-30.43387477479597,8.89410925226756,1.640653261742107e-09,-32.19015595875177,9.918087029645882,1.640653261742107e-09,-40.57984329548104,18.38442857346322
1.658803555318658e-09,-24.98780416714479,6.297862206185452,1.658803555318658e-09,-30.47789579546878,8.810733184566537,1.658803555318658e-09,-32.24190280496876,9.826861836952951,1.658803555318658e-09,-40.71037925026784,18.24962212274931
1.677154642789079e-09,-25.01443329499865,6.236323112444023,1.677154642789079e-09,-30.52091624403742,8.727842738852125,1.677154642789079e-09,-32.29250926529259,9.736117149414364,1.677154642789079e-09,-40.83874434220998,18.11470581991384
1.695708745505198e-09,-25.04040939919658,6.175222565014598,1.695708745505198e-09,-30.56295052581272,8.645444296633103,1.695708745505198e-09,-32.34199098108343,9.645861544213805,1.695708745505198e-09,-40.96495243890065,17.97971257546006
1.714468109393314e-09,-25.06574284743306,6.114562524988567,1.714468109393314e-09,-30.60401271965007,8.563543752313283,1.714468109393314e-09,-32.39036337500554,9.556103095144184,1.714468109393314e-09,-41.08901921619309,17.84467596925612
